ts, readratio, wal, ops, inserts, lookups, tree_size_gb
0,5,false,266,254,12,2.75233
1,5,false,976050,927222,48828,2.75233
2,5,false,958980,910883,48097,2.75233
3,5,false,966839,918569,48271,2.75233
4,5,false,983628,934270,49358,2.75233
5,5,false,964266,916244,48023,2.75233
6,5,false,946387,899421,46966,2.75233
7,5,false,944777,897475,47303,2.75233
8,5,false,945277,898034,47243,2.75233
9,5,false,946870,899811,47060,2.75233
10,5,false,940805,893784,47022,2.75233
11,5,false,941829,894924,46906,2.75233
12,5,false,943142,896013,47129,2.75233
13,5,false,943033,896108,46925,2.75233
14,5,false,942368,895705,46663,2.75233
15,5,false,967293,919092,48201,2.75233
16,5,false,957006,909341,47666,2.75233
17,5,false,964361,916534,47827,2.75233
18,5,false,952079,904778,47302,2.75233
19,5,false,948018,900616,47403,2.75233
20,5,false,955178,907859,47319,2.75233
21,5,false,963689,915493,48196,2.75233
22,5,false,946861,899184,47678,2.75233
23,5,false,951606,903871,47736,2.75233
24,5,false,959306,911172,48134,2.75233
25,5,false,960186,911980,48207,2.75233
26,5,false,947161,899885,47277,2.75233
27,5,false,951789,904144,47645,2.75233
28,5,false,959732,911471,48261,2.75233
29,5,false,954697,906833,47864,2.75233
0,50,false,48,25,23,2.75233
1,50,false,1321445,661040,660407,2.75233
2,50,false,1357127,678423,678705,2.75233
3,50,false,1342451,671173,671278,2.75233
4,50,false,1357964,678871,679095,2.75233
5,50,false,1308849,654099,654750,2.75233
6,50,false,1341491,671522,669971,2.75233
7,50,false,1325356,662424,662934,2.75233
8,50,false,1328896,665205,663693,2.75233
9,50,false,1355317,677824,677494,2.75233
10,50,false,1294236,647247,646991,2.75233
11,50,false,1353153,677180,675973,2.75233
12,50,false,1305020,652037,652984,2.75233
13,50,false,1352325,675461,676865,2.75233
14,50,false,1316143,657943,658201,2.75233
15,50,false,1340893,670896,669998,2.75233
16,50,false,1326632,664835,661797,2.75233
17,50,false,1322629,661240,661390,2.75233
18,50,false,1355948,678260,677689,2.75233
19,50,false,1298249,649184,649066,2.75233
20,50,false,1355563,677607,677956,2.75233
21,50,false,1306279,654130,652150,2.75233
22,50,false,1348035,673941,674095,2.75233
23,50,false,1315435,656920,658515,2.75233
24,50,false,1340879,670086,670795,2.75233
25,50,false,1334119,666990,667129,2.75233
26,50,false,1325174,662958,662216,2.75233
27,50,false,1357948,679125,678825,2.75233
28,50,false,1345296,672623,672673,2.75233
29,50,false,1358977,679442,679536,2.75233
0,95,false,90,4,87,2.75233
1,95,false,2146309,107278,2039031,2.75233
2,95,false,2134350,106670,2027682,2.75233
3,95,false,2160249,107779,2052471,2.75233
4,95,false,2204771,110213,2094560,2.75233
5,95,false,2206883,110048,2096837,2.75233
6,95,false,2115436,106064,2009372,2.75233
7,95,false,2186171,108707,2077466,2.75233
8,95,false,2206946,110919,2096029,2.75233
9,95,false,2203754,110054,2093702,2.75233
10,95,false,2101795,105392,1996405,2.75233
11,95,false,2191630,110141,2081492,2.75233
12,95,false,2208225,110570,2097656,2.75233
13,95,false,2208649,111045,2097606,2.75233
14,95,false,2101463,104933,1996533,2.75233
15,95,false,2203406,110457,2092951,2.75233
16,95,false,2208852,110997,2097858,2.75233
17,95,false,2180455,109245,2071212,2.75233
18,95,false,2123691,106411,2017281,2.75233
19,95,false,2199842,110450,2089394,2.75233
20,95,false,2211027,110257,2100772,2.75233
21,95,false,2134901,106657,2028246,2.75233
22,95,false,2169878,107890,2061991,2.75233
23,95,false,2208733,110465,2098270,2.75233
24,95,false,2211401,110357,2101045,2.75233
25,95,false,2111170,105844,2005329,2.75233
26,95,false,2190517,109907,2080612,2.75233
27,95,false,2211585,110233,2101355,2.75233
28,95,false,2211970,110345,2101627,2.75233
29,95,false,2099209,104767,1994444,2.75233
0,100,false,106,0,106,2.75233
1,100,false,2297254,0,2297255,2.75233
2,100,false,2367431,0,2367432,2.75233
3,100,false,2368179,0,2368181,2.75233
4,100,false,2250043,0,2250044,2.75233
5,100,false,2367927,0,2367929,2.75233
6,100,false,2373164,0,2373166,2.75233
7,100,false,2298894,0,2298896,2.75233
8,100,false,2321157,0,2321159,2.75233
9,100,false,2364538,0,2364539,2.75233
10,100,false,2371946,0,2371948,2.75233
11,100,false,2339552,0,2339554,2.75233
12,100,false,2365856,0,2365858,2.75233
13,100,false,2374606,0,2374608,2.75233
14,100,false,2370601,0,2370603,2.75233
15,100,false,2374796,0,2374798,2.75233
16,100,false,2263813,0,2263814,2.75233
17,100,false,2363330,0,2363333,2.75233
18,100,false,2369933,0,2369935,2.75233
19,100,false,2367901,0,2367903,2.75233
20,100,false,2372463,0,2372465,2.75233
21,100,false,2257589,0,2257591,2.75233
22,100,false,2365416,0,2365418,2.75233
23,100,false,2375131,0,2375133,2.75233
24,100,false,2378316,0,2378317,2.75233
25,100,false,2371868,0,2371870,2.75233
26,100,false,2259086,0,2259088,2.75233
27,100,false,2366726,0,2366728,2.75233
28,100,false,2376207,0,2376209,2.75233
29,100,false,2369346,0,2369347,2.75233
