ts, readratio, wal, ops, inserts, lookups, tree_size_gb
0,5,false,234,223,12,2.75233
1,5,false,961121,913046,48076,2.75233
2,5,false,975616,926690,48926,2.75233
3,5,false,976177,927428,48750,2.75233
4,5,false,975699,926729,48970,2.75233
5,5,false,977865,929204,48661,2.75233
6,5,false,977582,929090,48493,2.75233
7,5,false,978460,929370,49091,2.75233
8,5,false,980031,931179,48852,2.75233
9,5,false,979515,930768,48747,2.75233
10,5,false,981314,932229,49086,2.75233
11,5,false,980958,932094,48864,2.75233
12,5,false,976900,928061,48840,2.75233
13,5,false,980206,931564,48643,2.75233
14,5,false,980128,931662,48466,2.75233
15,5,false,981060,932031,49030,2.75233
16,5,false,979512,930679,48833,2.75233
17,5,false,981880,933318,48564,2.75233
18,5,false,981635,932624,49011,2.75233
19,5,false,978168,929658,48511,2.75233
20,5,false,981723,932808,48915,2.75233
21,5,false,982667,933354,49313,2.75233
22,5,false,980955,931650,49305,2.75233
23,5,false,982028,932689,49339,2.75233
24,5,false,981276,932027,49249,2.75233
25,5,false,981815,932615,49201,2.75233
26,5,false,981883,932954,48930,2.75233
27,5,false,982076,932625,49451,2.75233
28,5,false,982084,932895,49190,2.75233
29,5,false,978833,929695,49138,2.75233
0,50,false,37,18,19,2.75233
1,50,false,1207461,603623,603840,2.75233
2,50,false,1242137,620631,621506,2.75233
3,50,false,1242480,621400,621081,2.75233
4,50,false,1241158,620398,620762,2.75233
5,50,false,1242084,621766,620319,2.75233
6,50,false,1241792,620460,621333,2.75233
7,50,false,1242316,621746,620571,2.75233
8,50,false,1243310,621784,621526,2.75233
9,50,false,1242552,622079,620475,2.75233
10,50,false,1237566,618655,618912,2.75233
11,50,false,1243296,622169,621128,2.75233
12,50,false,1243132,620693,622440,2.75233
13,50,false,1243449,621408,622042,2.75233
14,50,false,1241920,620569,621352,2.75233
15,50,false,1241682,621406,620276,2.75233
16,50,false,1242114,622450,619664,2.75233
17,50,false,1243130,621602,621528,2.75233
18,50,false,1243003,621279,621725,2.75233
19,50,false,1243301,622131,621170,2.75233
20,50,false,1243616,621854,621763,2.75233
21,50,false,1243239,622228,621013,2.75233
22,50,false,1243711,622321,621390,2.75233
23,50,false,1244299,621923,622377,2.75233
24,50,false,1243216,620985,622231,2.75233
25,50,false,1234118,616602,617517,2.75233
26,50,false,1234851,616726,618125,2.75233
27,50,false,1243112,622468,620645,2.75233
28,50,false,1244120,622427,621693,2.75233
29,50,false,1243973,621783,622191,2.75233
0,95,false,17,0,17,2.75233
1,95,false,1692579,84227,1608354,2.75233
2,95,false,1763641,88116,1675526,2.75233
3,95,false,1761733,88219,1673516,2.75233
4,95,false,1757564,87768,1669797,2.75233
5,95,false,1763861,88212,1675651,2.75233
6,95,false,1767049,88249,1678802,2.75233
7,95,false,1767555,88389,1679167,2.75233
8,95,false,1768029,88568,1679463,2.75233
9,95,false,1769017,88398,1680620,2.75233
10,95,false,1767016,87827,1679191,2.75233
11,95,false,1755974,87935,1668040,2.75233
12,95,false,1767974,87886,1680089,2.75233
13,95,false,1766459,88774,1677687,2.75233
14,95,false,1766461,88150,1678312,2.75233
15,95,false,1766430,88240,1678192,2.75233
16,95,false,1766891,88598,1678295,2.75233
17,95,false,1767935,88588,1679349,2.75233
18,95,false,1764674,88030,1676645,2.75233
19,95,false,1766589,88954,1677636,2.75233
20,95,false,1767932,88636,1679298,2.75233
21,95,false,1768041,88408,1679634,2.75233
22,95,false,1768621,88916,1679707,2.75233
23,95,false,1767618,88329,1679292,2.75233
24,95,false,1765382,88427,1676957,2.75233
25,95,false,1766309,88966,1677343,2.75233
26,95,false,1755424,87761,1667666,2.75233
27,95,false,1766904,88756,1678150,2.75233
28,95,false,1769423,88800,1680625,2.75233
29,95,false,1769062,88547,1680516,2.75233
0,100,false,21,0,21,2.75233
1,100,false,1776867,0,1776868,2.75233
2,100,false,1857562,0,1857563,2.75233
3,100,false,1858399,0,1858400,2.75233
4,100,false,1855819,0,1855820,2.75233
5,100,false,1857290,0,1857291,2.75233
6,100,false,1853255,0,1853255,2.75233
7,100,false,1859569,0,1859571,2.75233
8,100,false,1860675,0,1860675,2.75233
9,100,false,1861425,0,1861426,2.75233
10,100,false,1861053,0,1861055,2.75233
11,100,false,1860526,0,1860527,2.75233
12,100,false,1861930,0,1861932,2.75233
13,100,false,1858918,0,1858921,2.75233
14,100,false,1855779,0,1855781,2.75233
15,100,false,1858927,0,1858928,2.75233
16,100,false,1864547,0,1864548,2.75233
17,100,false,1861150,0,1861152,2.75233
18,100,false,1861421,0,1861423,2.75233
19,100,false,1860937,0,1860939,2.75233
20,100,false,1864527,0,1864528,2.75233
21,100,false,1861479,0,1861480,2.75233
22,100,false,1861869,0,1861871,2.75233
23,100,false,1860254,0,1860255,2.75233
24,100,false,1857067,0,1857068,2.75233
25,100,false,1849059,0,1849061,2.75233
26,100,false,1850263,0,1850263,2.75233
27,100,false,1858162,0,1858164,2.75233
28,100,false,1862792,0,1862793,2.75233
29,100,false,1857950,0,1857951,2.75233
