# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 77K of event 'cpu-clock:HG'
# Event count (approx.): 1545460000000
#
# Overhead       Samples  Command  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  .......  ....................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    35.08%         27110  pal-sgx  libsysdb.so           [.] free_vma
    27.91%         21567  pal-sgx  libsysdb.so           [.] get_mem_obj_from_mgr_enlarge.constprop.0
     7.41%          5729  pal-sgx  libpal.so             [.] memset
     1.81%          1395  pal-sgx  libhyrise_impl.so     [.] _ZN5boost4hana6detail8variadic11foldl1_implILj6ENS0_4whenILb1EEEE5applyIZN6hyrise28resolve_encoded_segment_typeIiZNKS8_24ReferenceSegmentIterableIiLNS8_26EraseReferencedSegmentTypeE0EE18_on_with_iteratorsIZZNS8_17materialize_inputIiiLb0EEESt6vectorINS8_9PartitionIT_EESaISI_EERKSt10shared_ptrIKNS8_5TableEENS8_8ColumnIDERSF_ISF_ImSaImEESaIST_EEmRNS_14dynamic_bitsetImSS_EERKSY_ENKUlvE_clEvEUlSH_T0_E_EEvRKSH_EUlS16_E_EEvRKNS8_22AbstractEncodedSegmentERKS13_EUlSH_S13_E_bRKNS0_4pairINS8_13enum_constantINS8_12EncodingTypeELS1G_1EEENS0_9type_implINS8_12TemplateTypeINS8_17DictionarySegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_2EEENS1I_INS1J_INS8_16RunLengthSegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_3EEENS1I_INS1J_INS8_28FixedStringDictionarySegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_4EEENS1I_INS1J_INS8_23FrameOfReferenceSegmentEEEE1_EEERKNS1E_INS1F_IS1G_LS1G_5EEENS1I_INS1J_INS8_10LZ4SegmentEEEE1_EEEEEDcOSH_OS13_OT1_OT2_OT3_OT4_OT5_
     1.55%          1200  pal-sgx  libhyrise_impl.so     [.] void hyrise::DictionarySegmentIterable<int, std::vector<int, boost::container::pmr::polymorphic_allocator<int> > >::_on_with_iterators<hyrise::materialize_input<int, int, false>(std::shared_ptr<hyrise::Table const> const&, hyrise::ColumnID, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >&, unsigned long, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> >&, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> > const&)::{lambda()#1}::operator()() const::{lambda(auto:1, auto:2)#1}>(hyrise::materialize_input<int, int, false>(std::shared_ptr<hyrise::Table const> const&, hyrise::ColumnID, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >&, unsigned long, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> >&, boost::dynamic_bitset<unsigned long, std::allocator<unsigned long> > const&)::{lambda()#1}::operator()() const::{lambda(auto:1, auto:2)#1} const&) const
     1.36%          1050  pal-sgx  libhyrise_impl.so     [.] hyrise::SegmentAccessor<int, hyrise::DictionarySegment<int> >::access(hyrise::ChunkOffset) const
     1.29%           997  pal-sgx  libc.so.6             [.] __memcmp_evex_movbe
     1.09%           844  pal-sgx  libhyrise_impl.so     [.] hyrise::FixedWidthIntegerDecompressor<unsigned short>::get(unsigned long)
     1.06%           817  pal-sgx  libhyrise_impl.so     [.] auto (anonymous namespace)::add_segment_to_value_distribution<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> > >(hyrise::AbstractSegment const&, boost::unordered::unordered_flat_map<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> >, float, boost::hash<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> > const, float> > >&, hyrise::HistogramDomain<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> >, void> const&)::{lambda(auto:1 const&)#1}::operator()<hyrise::SegmentPosition<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> > > >(hyrise::SegmentPosition<std::__cxx11::basic_string<char, std::char_traits<char>, boost::container::pmr::polymorphic_allocator<char> > > const&) const
     1.05%           809  pal-sgx  libhyrise_impl.so     [.] _ZN6hyrise20resolve_segment_typeIfNS_15AbstractSegmentEZNKS_24ReferenceSegmentIterableIfLNS_26EraseReferencedSegmentTypeE0EE18_on_with_iteratorsIZNS_15segment_iterateIfLNS_10EraseTypesE0EZNS_13AggregateHash18_aggregate_segmentIfLNS_14WindowFunctionE2ESt5arrayImLm2EEEEvNS_7ChunkIDENS_8ColumnIDERKS1_RSt6vectorINSt11conditionalIXsr3stdE9is_same_vIT1_N5boost9container12small_vectorImLm4ENSL_3pmr21polymorphic_allocatorImEEvEEEESH_ISJ_NSO_ISJ_EEE20uninitialized_vectorISJ_SR_EE4typeENSO_ISW_EEEEUlRKT_E_EEvSG_RKSJ_EUlS10_T0_E_EEvS12_EUlS12_E_EENSt9enable_ifIXsr3stdE9is_same_vIS1_NSt12remove_constIS16_E4typeEEEvE4typeERS16_S15_
